Distance,Latitude,Longitude,Heading,Velocity
-0.447916772734673,-0.960329901917088,1.3366190501979,1.10746286153875,-0.380743301146705
-0.413916514677196,-0.958722793992199,1.33918322727054,1.10746286153875,-0.366592468697674
-0.423256547381753,-0.95711568606731,1.34186950801478,1.1088550033502,-0.352593795737343
-0.379196678514469,-0.955623371566151,1.34467789242891,1.1088550033502,-0.382264896033697
0.225074654276282,-0.954016263641262,1.34748627684477,1.11024714516165,-0.349398446474659
-0.379196960910385,-0.953442296525055,1.35273673466165,1.28704915521566,-0.358832334774013
-0.465335003189836,-0.951835188600166,1.35554511907577,1.28704915521566,-0.368266223073366
-0.386776652438696,-0.950457667521923,1.3583535034899,1.2884412970271,-0.409653603999562
-0.465335396959164,-0.948965353019949,1.36128399157563,1.28704915521566,-0.420609087185908
0.214868222227844,-0.947587831941705,1.36409237598976,1.28704915521566,-0.416805099968427
-0.427748206631173,-0.948047005634181,1.36934283380664,1.36918552209115,-0.404175862406389
-0.459105417515104,-0.946669484555938,1.37227332189237,1.36640123846824,-0.411327358375254
-0.50233152789615,-0.945177170053964,1.37495960263662,1.36361695484535,-0.427760583154773
-0.427748824410436,-0.94379964897572,1.37764588337913,1.36083267122245,-0.484820391416992
-0.192145207321133,-0.942422127897477,1.38057637146487,1.3566562457881,-0.467626369193977
-0.466541360584333,-0.941044606818418,1.38423948156987,1.13112927233338,-0.459714075781616
-0.427343403753418,-0.939781879163905,1.38716996965387,1.12695284689904,-0.409653603999562
-0.466541738236491,-0.938519151508577,1.39022256140948,1.12277642146469,-0.428521380598269
-0.462707932792641,-0.937256423853249,1.39315304949348,1.1172078542189,-0.451953941857954
-0.366953793082043,-0.936108489620836,1.39620564124736,1.1116392869731,-0.467626369193977
-0.502962187793428,-0.934386588273031,1.39889192199161,0.965464396770961,-0.475386503117639
-0.536807151070203,-0.933238654040618,1.40182241007735,0.958503687713715,-0.521642987682211
